blk,ccache,tcache,smp,intra,ccp,simd,mshr,dramq,inter,runtime
1,8,8,1,4,1,16,3,32,2,32149
1,8,8,2,1,2,64,1,64,6,36404
1,8,8,8,4,4,16,2,32,6,32149
1,8,16,1,1,1,32,1,16,6,34359
1,8,16,4,1,2,32,3,64,6,32821
1,8,16,4,1,4,64,2,16,6,35207
1,8,32,1,4,1,16,1,16,2,32292
1,8,32,2,1,4,64,1,16,10,36475
1,8,32,2,2,8,64,2,64,10,35143
1,8,32,8,1,8,64,3,32,2,35102
1,8,32,8,8,1,16,1,64,6,32044
1,8,64,1,8,1,32,2,64,2,33484
1,8,128,1,8,1,16,2,64,2,31993
1,8,256,8,1,4,64,3,32,6,35102
1,16,8,2,4,4,32,3,16,6,32215
1,16,16,1,1,8,32,1,32,6,34269
1,16,32,4,8,1,32,1,32,2,32335
1,16,32,4,8,1,64,2,64,6,33292
1,16,128,1,1,2,64,2,32,6,39044
1,16,128,1,4,4,32,1,64,2,33484
1,16,128,8,4,8,64,1,32,2,33462
1,16,256,2,2,1,64,3,16,10,35312
1,32,16,1,1,8,16,3,16,10,32493
1,32,16,4,1,1,16,3,64,2,32326
1,32,16,4,1,8,16,3,16,2,32480
1,32,16,4,8,1,32,1,32,10,32350
1,32,32,1,2,4,64,3,64,10,38023
1,32,32,8,2,1,32,2,32,2,32309
1,32,32,8,2,8,64,3,32,10,34089
1,32,64,2,8,2,16,3,32,2,32061
1,32,64,4,4,2,16,3,16,6,32292
1,32,64,8,1,2,64,1,16,10,35176
1,32,64,8,2,1,64,1,32,6,34089
1,32,128,1,4,8,32,1,32,6,33316
1,64,8,4,8,2,16,2,32,10,32061
1,64,64,4,1,1,32,1,16,2,32860
1,64,256,2,2,4,16,1,64,2,31993
1,64,256,2,4,2,32,3,16,6,32121
1,64,256,4,1,2,64,1,64,2,35026
1,128,16,8,1,2,64,2,32,10,35037
1,128,64,1,2,1,16,2,16,6,32296
1,128,64,2,1,2,32,3,64,10,32964
1,128,64,2,2,1,16,2,32,2,32149
1,128,128,2,1,2,64,1,16,2,36475
1,128,256,1,2,4,32,2,32,10,33545
1,128,256,8,8,2,64,1,64,6,33292
1,256,16,8,1,8,64,2,64,10,35026
1,256,16,8,8,1,16,2,64,6,31993
1,256,32,2,1,4,64,1,32,6,36290
1,256,32,4,1,2,16,2,32,2,32310
1,256,64,1,2,4,64,2,16,2,38030
1,256,64,1,4,8,32,2,32,2,33386
1,256,64,2,4,8,32,3,32,2,32350
1,256,64,4,1,1,32,2,32,2,32763
1,256,64,4,1,2,16,1,32,2,32301
1,256,128,1,2,4,64,3,16,10,37988
1,256,128,4,1,1,16,1,64,6,32326
1,256,128,4,4,8,16,2,16,2,32292
1,256,128,8,2,1,64,3,16,10,34281
1,256,128,8,4,2,16,1,64,10,31993
1,256,256,2,2,8,16,1,64,2,32044
1,256,256,2,8,8,64,2,64,6,34408
1,256,256,4,4,4,32,2,32,6,32350
2,8,8,4,1,4,16,3,64,10,28731
2,8,16,8,1,2,16,2,16,6,26823
2,8,32,1,1,1,64,1,32,6,25718
2,8,64,2,8,2,16,1,16,6,28098
2,8,64,8,4,1,64,3,64,10,23249
2,8,128,2,1,8,32,2,16,10,23020
2,16,8,1,1,2,32,3,64,6,24076
2,16,8,4,8,2,64,2,32,6,22729
2,16,16,8,2,4,16,3,64,6,26315
2,16,128,1,8,4,64,3,64,6,25030
2,16,128,8,2,2,16,1,64,2,26315
2,16,256,8,2,4,16,2,64,10,26315
2,32,8,1,8,1,64,2,16,2,24789
2,32,8,8,8,2,64,3,64,2,22751
2,32,32,2,2,8,16,2,32,6,26209
2,32,32,8,4,4,32,2,16,6,23025
2,32,128,2,4,2,64,3,64,10,23597
2,32,128,4,8,2,64,2,32,2,22671
2,32,256,4,1,8,32,3,32,10,22732
2,32,256,8,1,4,64,1,16,6,23805
2,32,256,8,1,8,64,3,64,10,23587
2,32,256,8,2,2,16,1,32,2,26409
2,64,8,1,4,2,64,1,64,6,24658
2,64,8,2,1,8,16,1,64,2,28731
2,64,8,4,1,2,64,3,16,6,23982
2,64,16,1,1,8,16,2,32,10,28636
2,64,16,2,8,2,32,1,64,10,22666
2,64,16,4,8,1,16,1,32,10,26409
2,64,32,1,4,4,16,1,16,6,28328
2,64,32,8,1,4,32,2,64,10,23155
2,64,64,8,4,8,64,3,32,10,23098
2,64,128,1,2,2,32,1,16,2,23743
2,64,128,4,1,4,16,3,32,2,26742
2,64,128,8,2,4,32,3,32,6,22586
2,64,256,4,2,4,64,3,16,2,23148
2,128,8,1,8,8,32,3,32,6,23687
2,128,8,2,2,1,16,1,32,2,26409
2,128,8,2,4,8,32,1,64,2,22666
2,128,16,1,8,1,16,3,32,10,26209
2,128,16,2,8,1,16,3,32,2,26209
2,128,16,2,8,4,16,3,32,6,26409
2,128,16,4,2,8,64,2,32,2,23363
2,128,128,1,8,1,64,2,32,2,24935
2,128,128,2,1,1,64,2,16,10,24549
2,128,128,8,4,1,32,2,32,6,22493
2,128,256,1,4,4,16,1,32,10,26209
2,128,256,4,4,8,64,1,32,2,23098
2,256,8,1,1,8,32,3,64,10,23992
2,256,16,1,2,8,64,1,32,10,25314
2,256,16,2,2,1,16,1,64,2,26315
2,256,16,8,1,8,16,2,64,10,28731
2,256,32,2,1,8,16,3,16,10,26863
2,256,32,8,4,2,16,3,32,6,26209
2,256,64,4,4,8,64,3,16,6,22817
2,256,128,1,8,1,32,3,16,10,23675
2,256,128,2,1,1,32,3,32,2,22732
2,256,128,2,2,8,32,2,32,2,22686
2,256,128,4,8,8,16,1,64,2,26315
2,256,256,2,2,8,64,1,64,10,23904
2,256,256,8,2,4,64,3,32,2,23363
4,8,8,2,1,2,16,3,64,10,28936
4,8,16,1,4,4,64,3,16,10,21530
4,8,32,1,4,2,64,2,32,10,20873
4,8,32,1,8,2,32,3,16,10,22005
4,8,32,1,8,4,64,2,64,2,18885
4,8,32,2,4,8,64,2,32,2,20165
4,8,32,8,1,2,32,3,16,10,21414
4,8,64,1,4,2,32,1,32,6,21235
4,8,64,2,1,2,32,1,64,2,18975
4,8,64,4,8,1,32,3,32,6,20372
4,8,128,4,4,2,16,2,32,2,25996
4,8,128,8,4,1,32,2,32,2,20458
4,8,256,2,4,1,16,1,16,2,28060
4,8,256,8,2,1,16,3,64,10,27856
